doc_id,doc_type,reference,role,nrc_adams_accession,source_url,filename
DSRS 15.6.5,DSRS,DSRS 15.6.5,distractor,ML15355A309,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A309,DSRS 15.6.5 (ML15355A309).pdf
RG 1.125,RG,RG 1.125,distractor,ML082810208,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML082810208,RG 1.125 (ML082810208).pdf
RG 1.134,RG,RG 1.134,distractor,ML14189A385,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML14189A385,RG 1.134 (ML14189A385).pdf
RG 1.171,RG,RG 1.171,distractor,ML13004A375,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML13004A375,RG 1.171 (ML13004A375).pdf
RG 1.187,RG,RG 1.187,distractor,ML20220A185,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML20220A185,RG 1.187 (ML20220A185).pdf
RG 1.206,RG,RG 1.206,distractor,ML070710446,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070710446,RG 1.206 (ML070710446).pdf
RG 1.234,RG,RG 1.234,distractor,ML24038A311,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML24038A311,RG 1.234 (ML24038A311).pdf
RG 1.32,RG,RG 1.32,distractor,ML070710434,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070710434,RG 1.32 (ML070710434).pdf
RG 1.61,RG,RG 1.61,distractor,ML070260029,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070260029,RG 1.61 (ML070260029).pdf
RG 1.70,RG,RG 1.70,distractor,ML053560191,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML053560191,RG 1.70 (ML053560191).pdf
RG 1.70,RG,RG 1.70,distractor,ML063600402,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML063600402,RG 1.70 (ML063600402).pdf
RG 1.70,RG,RG 1.70,distractor,ML070790015,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070790015,RG 1.70 (ML070790015).pdf
RG 1.70,RG,RG 1.70,distractor,ML16085A315,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML16085A315,RG 1.70 (ML16085A315).pdf
RG 1.70,RG,RG 1.70,distractor,ML16147A289,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML16147A289,RG 1.70 (ML16147A289).pdf
RG 1.84,RG,RG 1.84,distractor,ML23291A007,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML23291A007,RG 1.84 (ML23291A007).pdf
RG 1.97,RG,RG 1.97,distractor,ML16020A103,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML16020A103,RG 1.97 (ML16020A103).pdf
RG 3.61,RG,RG 3.61,distractor,ML003739511,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML003739511,RG 3.61 (ML003739511).pdf
