doc_id,doc_type,reference,role,nrc_adams_accession,source_url,filename
10 CFR Part 50,10CFR,10 CFR Part 50,evidence,N/A,,10 CFR Part 50 (10 CFR Part 50 (up to date as of 3-19-2026)).pdf
DSRS 10.2.3,DSRS,DSRS 10.2.3,evidence,ML15356A700,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15356A700,DSRS 10.2.3 (ML15356A700).pdf
DSRS 10.3,DSRS,DSRS 10.3,evidence,ML15355A322,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A322,DSRS 10.3 (ML15355A322).pdf
DSRS 11.1,DSRS,DSRS 11.1,evidence,ML15355A333,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A333,DSRS 11.1 (ML15355A333).pdf
DSRS 11.2,DSRS,DSRS 11.2,evidence,ML15355A334,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A334,DSRS 11.2 (ML15355A334).pdf
DSRS 12.2,DSRS,DSRS 12.2,evidence,ML15350A320,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15350A320,DSRS 12.2 (ML15350A320).pdf
DSRS 12.5,DSRS,DSRS 12.5,evidence,ML15350A341,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15350A341,DSRS 12.5 (ML15350A341).pdf
DSRS 14.2,DSRS,DSRS 14.2,evidence,ML15355A339,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A339,DSRS 14.2 (ML15355A339).pdf
DSRS 15.0,DSRS,DSRS 15.0,evidence,ML15355A302,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A302,DSRS 15.0 (ML15355A302).pdf
DSRS 15.1.5,DSRS,DSRS 15.1.5,evidence,ML15355A304,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A304,DSRS 15.1.5 (ML15355A304).pdf
DSRS 15.2.6,DSRS,DSRS 15.2.6,evidence,ML15363A348,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15363A348,DSRS 15.2.6 (ML15363A348).pdf
DSRS 15.2.7,DSRS,DSRS 15.2.7,evidence,ML15355A307,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A307,DSRS 15.2.7 (ML15355A307).pdf
DSRS 15.2.8,DSRS,DSRS 15.2.8,evidence,ML15355A308,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A308,DSRS 15.2.8 (ML15355A308).pdf
DSRS 3.11,DSRS,DSRS 3.11,evidence,ML15355A455,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A455,DSRS 3.11 (ML15355A455).pdf
DSRS 3.7.1,DSRS,DSRS 3.7.1,evidence,ML15355A384,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A384,DSRS 3.7.1 (ML15355A384).pdf
DSRS 3.7.2,DSRS,DSRS 3.7.2,evidence,ML15355A389,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A389,DSRS 3.7.2 (ML15355A389).pdf
DSRS 3.8.2,DSRS,DSRS 3.8.2,evidence,ML15355A411,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A411,DSRS 3.8.2 (ML15355A411).pdf
DSRS 3.8.4,DSRS,DSRS 3.8.4,evidence,ML15355A444,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A444,DSRS 3.8.4 (ML15355A444).pdf
DSRS 3.8.5,DSRS,DSRS 3.8.5,evidence,ML15355A451,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML15355A451,DSRS 3.8.5 (ML15355A451).pdf
