src,dst,weight
10 CFR Part 50,RG 1.29,97
10 CFR Part 50,RG 1.206,67
10 CFR Part 50,SRP 2.3.1,48
10 CFR Part 50,RG 1.143,46
10 CFR Part 50,SRP 2.4.12,46
10 CFR Part 50,RG 1.59,43
10 CFR Part 50,SRP 5.2.3,42
10 CFR Part 50,DSRS 3.8.4,40
10 CFR Part 50,RG 1.76,38
RG 1.76,SRP 2.3.1,38
10 CFR Part 50,RG 1.183,37
10 CFR Part 50,RG 1.26,36
10 CFR Part 50,DSRS 3.11,35
10 CFR Part 50,SRP 3.9.2,35
10 CFR Part 50,SRP 2.5.2,34
RG 1.29,RG 1.59,33
10 CFR Part 50,DSRS 3.7.2,32
10 CFR Part 50,RG 1.84,32
10 CFR Part 50,SRP 13.3,32
10 CFR Part 50,SRP 3.7.1,31
10 CFR Part 50,SRP 3.9.3,31
10 CFR Part 50,SRP 3.8.5,30
10 CFR Part 50,DSRS 12.2,29
10 CFR Part 50,DSRS 6.2.6,29
10 CFR Part 50,RG 1.163,28
10 CFR Part 50,RG 1.20,28
10 CFR Part 50,RG 1.50,28
DSRS 12.2,RG 1.183,28
DSRS 6.2.6,RG 1.163,28
RG 1.20,SRP 3.9.2,28
10 CFR Part 50,RG 1.155,27
10 CFR Part 50,SRP 2.4.6,27
RG 1.26,RG 1.29,27
10 CFR Part 50,SRP 3.7.2,26
10 CFR Part 50,RG 1.71,25
10 CFR Part 50,SRP 9.1.1,25
10 CFR Part 50,DSRS 3.8.2,24
10 CFR Part 50,SRP 6.4,24
10 CFR Part 50,RG 1.138,23
10 CFR Part 50,RG 1.78,23
10 CFR Part 50,RG 1.97,23
RG 1.50,SRP 5.2.3,23
RG 1.59,SRP 2.4.6,23
10 CFR Part 50,RG 1.44,21
10 CFR Part 50,RG 1.8,21
10 CFR Part 50,SRP 2.5.4,21
10 CFR Part 50,DSRS 3.7.1,20
DSRS 3.7.1,DSRS 3.7.2,20
RG 1.206,SRP 2.5.1,20
RG 1.78,SRP 6.4,20
RG 1.84,SRP 5.2.3,20
SRP 3.7.2,SRP 3.8.5,20
10 CFR Part 50,RG 1.23,19
RG 1.145,RG 1.23,18
RG 1.29,SRP 3.9.2,18
RG 1.44,SRP 5.2.3,18
SRP 3.7.1,SRP 3.7.2,18
10 CFR Part 50,DSRS 6.2.5,17
10 CFR Part 50,SRP 2.4.3,17
RG 1.206,SRP 3.8.5,17
10 CFR Part 50,RG 1.68,16
10 CFR Part 50,SRP 13.1.1,16
10 CFR Part 50,SRP 14.3.10,16
10 CFR Part 50,SRP 2.5.1,16
10 CFR Part 50,SRP 3.9.5,16
RG 1.29,SRP 2.4.6,16
RG 1.50,RG 1.84,16
SRP 3.9.3,SRP 3.9.5,16
10 CFR Part 50,DSRS 11.1,15
10 CFR Part 50,RG 1.160,15
10 CFR Part 50,RG 1.57,15
10 CFR Part 50,SRP 10.3.6,15
DSRS 12.2,RG 1.143,15
DSRS 3.11,RG 1.97,15
RG 1.50,RG 1.71,15
RG 1.8,SRP 13.1.1,15
SRP 2.5.2,SRP 3.7.1,15
SRP 3.7.1,SRP 3.8.5,15
10 CFR Part 50,DSRS 4.4,14
10 CFR Part 50,DSRS 5.2.4,14
10 CFR Part 50,DSRS 6.2.4,14
10 CFR Part 50,RG 1.216,14
10 CFR Part 50,RG 1.82,14
10 CFR Part 50,SRP 2.4.13,14
RG 1.138,SRP 2.5.4,14
SRP 3.9.2,SRP 3.9.3,14
10 CFR Part 50,DSRS 6.2.2,13
10 CFR Part 50,RG 1.147,13
10 CFR Part 50,RG 4.21,13
10 CFR Part 50,SRP 14.2,13
10 CFR Part 50,SRP 8.2,13
DSRS 6.2.2,RG 1.82,13
RG 1.138,RG 1.198,13
RG 1.143,RG 1.183,13
RG 1.145,SRP 2.3.4,13
RG 1.183,SRP 6.4,13
RG 1.23,SRP 2.3.3,13
10 CFR Part 50,RG 1.32,12
10 CFR Part 50,SRP 9.1.3,12
DSRS 3.8.2,RG 1.57,12
RG 1.143,RG 1.26,12
RG 1.160,SRP 8.2,12
RG 1.20,RG 1.29,12
RG 1.20,SRP 3.9.3,12
RG 1.20,SRP 3.9.5,12
RG 1.206,SRP 2.5.2,12
RG 1.23,SRP 2.3.4,12
RG 1.23,SRP 2.3.5,12
RG 1.26,SRP 9.1.3,12
RG 1.29,SRP 9.1.3,12
RG 1.71,SRP 5.2.3,12
SRP 2.4.12,SRP 2.4.13,12
SRP 3.9.2,SRP 3.9.5,12
10 CFR Part 50,DSRS 5.4.7,11
10 CFR Part 50,RG 1.198,11
10 CFR Part 50,RG 1.28,11
10 CFR Part 50,RG 1.53,11
10 CFR Part 50,SRP 10.4.1,11
10 CFR Part 50,SRP 11.2,11
10 CFR Part 50,SRP 11.3,11
10 CFR Part 50,SRP 13.2.2,11
10 CFR Part 50,SRP 2.3.2,11
10 CFR Part 50,SRP 3.3.1,11
10 CFR Part 50,SRP 3.4.2,11
DSRS 12.2,RG 1.26,11
DSRS 3.8.4,RG 1.143,11
DSRS 4.4,SRP 14.2,11
RG 1.145,RG 1.194,11
RG 1.183,RG 1.26,11
