src,dst,reference_type,weight,example_query_ids
10 CFR Part 50,RG 1.143,lateral_cross_reference,1,nuscale_0254_hard_002
10 CFR Part 50,RG 1.145,lateral_cross_reference,2,nuscale_0010_medium_001;levy_0345_hard_002
10 CFR Part 50,RG 1.194,lateral_cross_reference,2,nuscale_0010_medium_001;levy_0345_hard_002
10 CFR Part 50,RG 1.29,methodology_guidance,1,levy_0378_medium_000
10 CFR Part 50,RG 1.59,methodology_guidance,1,levy_0378_medium_000
10 CFR Part 50,RG 1.61,methodology_guidance,1,nuscale_0033_medium_001
10 CFR Part 50,RG 1.97,lateral_cross_reference,1,nuscale_0159_medium_001
10 CFR Part 50,SRP 2.3.1,lateral_cross_reference,1,levy_0357_easy_000
10 CFR Part 50,SRP 2.5.2,lateral_cross_reference,7,nuscale_0033_medium_000;nuscale_0036_medium_001;nuscale_0037_medium_001
10 CFR Part 50,SRP 3.7.1,lateral_cross_reference,1,nuscale_0076_medium_001
DSRS 10.2.3 (section fallback),10 CFR Part 50,normative_basis,4,nuscale_0278_easy_000;nuscale_0278_medium_001;nuscale_0279_easy_000
DSRS 10.2.3 (section fallback),SRP 13.2.2,lateral_cross_reference,1,nuscale_0278_easy_000
DSRS 10.2.3 (section fallback),SRP 19.3,lateral_cross_reference,2,nuscale_0278_easy_000;nuscale_0279_easy_000
DSRS 11.1,10 CFR Part 50,normative_basis,15,nuscale_0297_easy_000;nuscale_0297_medium_001;nuscale_0297_hard_002
DSRS 11.1,DSRS 11.2,lateral_cross_reference,1,nuscale_0299_hard_002
DSRS 11.2,SRP 2.4.13,lateral_cross_reference,1,nuscale_0299_hard_002
DSRS 12.2,10 CFR Part 50,normative_basis,29,nuscale_0303_medium_001;nuscale_0303_hard_002;nuscale_0304_easy_000
DSRS 12.2,RG 1.143,methodology_guidance,15,nuscale_0303_hard_002;nuscale_0304_hard_002;nuscale_0306_easy_000
DSRS 12.2,RG 1.183,methodology_guidance,28,nuscale_0303_easy_000;nuscale_0303_hard_002;nuscale_0304_easy_000
DSRS 12.2,RG 1.26,methodology_guidance,11,nuscale_0303_hard_002;nuscale_0304_hard_002;nuscale_0306_easy_000
DSRS 12.2,RG 1.29,methodology_guidance,2,nuscale_0306_easy_000;nuscale_0317_easy_000
DSRS 14.2,RG 1.68,methodology_guidance,1,nuscale_0168_medium_001
DSRS 14.2,SRP 14.2,lateral_cross_reference,1,nuscale_0332_medium_001
DSRS 15.1.5 (section fallback),10 CFR Part 50,normative_basis,3,nuscale_0324_easy_000;nuscale_0325_medium_000;nuscale_0325_medium_001
DSRS 15.1.5 (section fallback),DSRS 4.4 (section fallback),lateral_cross_reference,3,nuscale_0324_easy_000;nuscale_0325_medium_000;nuscale_0325_medium_001
DSRS 15.1.5 (section fallback),SRP 14.2,lateral_cross_reference,3,nuscale_0324_easy_000;nuscale_0325_medium_000;nuscale_0325_medium_001
DSRS 15.1.5 (section fallback),SRP 14.3.10,lateral_cross_reference,1,nuscale_0325_medium_000
DSRS 15.2.6 (section fallback),10 CFR Part 50,normative_basis,8,nuscale_0326_easy_000;nuscale_0327_easy_000;nuscale_0327_medium_001
DSRS 15.2.6 (section fallback),DSRS 4.4 (section fallback),lateral_cross_reference,4,nuscale_0326_easy_000;nuscale_0327_easy_000;nuscale_0327_hard_002
DSRS 15.2.6 (section fallback),RG 1.53,methodology_guidance,8,nuscale_0326_easy_000;nuscale_0327_easy_000;nuscale_0327_medium_001
DSRS 15.2.7 (section fallback),10 CFR Part 50,normative_basis,2,nuscale_0330_easy_000;nuscale_0330_medium_001
DSRS 15.2.7 (section fallback),RG 1.206,methodology_guidance,2,nuscale_0330_easy_000;nuscale_0330_medium_001
DSRS 15.2.7 (section fallback),RG 1.53,methodology_guidance,2,nuscale_0330_easy_000;nuscale_0330_medium_001
DSRS 15.2.8 (section fallback),10 CFR Part 50,normative_basis,6,nuscale_0331_easy_000;nuscale_0331_medium_001;nuscale_0332_easy_000
DSRS 15.2.8 (section fallback),DSRS 14.2,lateral_cross_reference,1,nuscale_0332_medium_001
DSRS 15.2.8 (section fallback),DSRS 4.4 (section fallback),lateral_cross_reference,1,nuscale_0332_medium_001
DSRS 15.2.8 (section fallback),DSRS 5.3.1 (section fallback),lateral_cross_reference,1,nuscale_0331_medium_001
DSRS 15.2.8 (section fallback),SRP 3.9.1,lateral_cross_reference,1,nuscale_0333_easy_000
DSRS 15.2.8 (section fallback),SRP 3.9.2,lateral_cross_reference,1,nuscale_0333_easy_000
DSRS 15.2.8 (section fallback),SRP 3.9.3,lateral_cross_reference,1,nuscale_0333_easy_000
DSRS 15.2.8 (section fallback),SRP 5.2.3,lateral_cross_reference,1,nuscale_0331_medium_001
DSRS 3.11,10 CFR Part 50,normative_basis,32,nuscale_0114_easy_000;nuscale_0114_medium_001;nuscale_0115_easy_000
DSRS 3.11,RG 1.97,methodology_guidance,15,nuscale_0115_medium_001;nuscale_0115_hard_002;nuscale_0116_medium_000
DSRS 3.7.1,SRP 2.5.2,lateral_cross_reference,2,nuscale_0032_medium_000;nuscale_0036_easy_000
DSRS 3.7.2,10 CFR Part 50,normative_basis,32,nuscale_0025_easy_000;nuscale_0025_medium_001;nuscale_0026_medium_000
DSRS 3.7.2,DSRS 3.7.1,lateral_cross_reference,20,nuscale_0025_easy_000;nuscale_0025_medium_001;nuscale_0026_medium_000
DSRS 3.7.2,DSRS 3.8.4,lateral_cross_reference,9,nuscale_0025_easy_000;nuscale_0025_medium_001;nuscale_0026_medium_000
DSRS 3.7.2,DSRS 3.8.5,lateral_cross_reference,7,nuscale_0025_easy_000;nuscale_0025_medium_001;nuscale_0026_medium_000
DSRS 3.7.2,SRP 19.0,lateral_cross_reference,1,nuscale_0034_medium_000
DSRS 3.7.2,SRP 2.5.4,lateral_cross_reference,1,nuscale_0034_medium_000
DSRS 3.7.2,SRP 3.7.1,lateral_cross_reference,1,nuscale_0035_medium_001
DSRS 3.7.2,SRP 3.8.5,lateral_cross_reference,1,nuscale_0035_medium_001
DSRS 3.8.2 (section fallback),10 CFR Part 50,normative_basis,24,nuscale_0040_easy_000;nuscale_0041_easy_000;nuscale_0041_medium_001
DSRS 3.8.2 (section fallback),RG 1.206,methodology_guidance,4,nuscale_0048_easy_000;nuscale_0048_medium_001;nuscale_0049_medium_001
DSRS 3.8.2 (section fallback),RG 1.216,methodology_guidance,5,nuscale_0040_easy_000;nuscale_0045_easy_000;nuscale_0048_easy_000
DSRS 3.8.2 (section fallback),RG 1.57,methodology_guidance,12,nuscale_0040_easy_000;nuscale_0045_easy_000;nuscale_0046_medium_000
DSRS 3.8.2 (section fallback),RG 1.71,methodology_guidance,4,nuscale_0040_easy_000;nuscale_0045_easy_000;nuscale_0052_medium_001
DSRS 3.8.2 (section fallback),SRP 3.9.1,lateral_cross_reference,2,nuscale_0051_medium_001;nuscale_0052_easy_000
DSRS 3.8.4,10 CFR Part 50,normative_basis,30,nuscale_0053_easy_000;nuscale_0053_medium_001;nuscale_0053_hard_002
DSRS 3.8.4,RG 1.143,methodology_guidance,11,nuscale_0053_easy_000;nuscale_0053_medium_001;nuscale_0053_hard_002
DSRS 3.8.4,RG 1.160,methodology_guidance,1,nuscale_0053_hard_002
