doc_id,doc_type,query_count,out_degree_weighted,in_degree_weighted
10 CFR Part 50,10CFR,878,18,873
DSRS 10.2.3 (section fallback),DSRS,4,7,0
DSRS 11.1,DSRS,15,16,0
DSRS 11.2,DSRS,1,1,1
DSRS 12.2,DSRS,39,85,0
DSRS 14.2,DSRS,5,2,5
DSRS 15.1.5 (section fallback),DSRS,3,10,0
DSRS 15.2.6 (section fallback),DSRS,8,20,0
DSRS 15.2.7 (section fallback),DSRS,2,6,0
DSRS 15.2.8 (section fallback),DSRS,6,13,0
DSRS 3.11,DSRS,35,47,3
DSRS 3.7.1,DSRS,20,2,20
DSRS 3.7.2,DSRS,32,72,0
DSRS 3.8.2 (section fallback),DSRS,24,51,0
DSRS 3.8.4,DSRS,41,51,9
DSRS 3.8.5,DSRS,7,0,7
DSRS 4.4 (section fallback),DSRS,14,19,8
DSRS 5.2.4 (section fallback),DSRS,14,24,0
DSRS 5.2.5 (section fallback),DSRS,2,6,0
DSRS 5.3.1 (section fallback),DSRS,8,17,1
DSRS 5.4.7 (section fallback),DSRS,11,23,0
DSRS 6.2.1 (section fallback),DSRS,8,12,0
DSRS 6.2.2 (section fallback),DSRS,13,26,0
DSRS 6.2.4,DSRS,14,31,1
DSRS 6.2.5 (section fallback),DSRS,17,30,0
DSRS 6.2.6 (section fallback),DSRS,29,57,0
DSRS 6.3 (section fallback),DSRS,3,5,1
DSRS 6.6 (section fallback),DSRS,3,7,0
DSRS 8.1 (section fallback),DSRS,1,0,1
DSRS 8.3.2 (section fallback),DSRS,7,12,0
DSRS 8.4,DSRS,6,17,0
DSRS 9.3.4,DSRS,6,22,0
DSRS 9.3.6 (section fallback),DSRS,9,18,0
RG 1.100,RG,10,2,10
RG 1.138,RG,25,0,25
RG 1.143,RG,52,1,52
RG 1.145,RG,19,1,19
RG 1.147,RG,13,1,13
RG 1.155,RG,27,0,27
RG 1.160,RG,15,0,15
RG 1.163,RG,28,0,28
RG 1.183,RG,42,7,42
RG 1.194,RG,11,0,11
RG 1.198,RG,13,2,13
RG 1.20,RG,28,4,28
RG 1.206,RG,78,9,76
RG 1.216,RG,14,3,14
RG 1.221,RG,2,0,2
RG 1.23,RG,37,1,37
RG 1.26,RG,38,0,38
RG 1.28,RG,11,0,11
RG 1.29,RG,101,10,101
RG 1.32,RG,12,2,12
RG 1.33,RG,2,1,2
RG 1.36,RG,1,0,1
RG 1.44,RG,21,0,21
RG 1.45,RG,2,1,2
RG 1.50,RG,28,0,28
RG 1.53,RG,11,0,11
RG 1.57,RG,15,3,15
RG 1.59,RG,44,4,44
RG 1.61,RG,5,2,5
RG 1.65,RG,2,0,2
RG 1.68,RG,16,4,16
RG 1.71,RG,25,0,25
RG 1.76,RG,38,0,38
RG 1.78,RG,27,0,27
RG 1.8,RG,21,0,21
RG 1.82,RG,14,0,14
RG 1.84,RG,32,2,32
RG 1.97,RG,23,6,23
RG 4.21,RG,16,0,16
SRP 10.2,SRP,2,4,0
SRP 10.3.6,SRP,15,32,2
SRP 10.4.1,SRP,12,22,1
SRP 10.4.5,SRP,8,13,0
SRP 10.4.6,SRP,2,2,0
SRP 11.2,SRP,16,28,8
SRP 11.3,SRP,12,9,10
SRP 11.4,SRP,2,6,0
SRP 13.1.1,SRP,16,41,0
SRP 13.2.1,SRP,12,0,12
SRP 13.2.2,SRP,13,12,10
SRP 13.3,SRP,32,42,1
SRP 13.5.1,SRP,6,4,4
SRP 13.6,SRP,2,1,1
SRP 14.2,SRP,13,2,13
SRP 14.3.10,SRP,18,2,18
SRP 15.0.3,SRP,6,2,6
SRP 15.4.8,SRP,1,1,1
SRP 16.0,SRP,2,1,2
SRP 17.5,SRP,2,1,2
SRP 19.0,SRP,3,0,3
SRP 19.3,SRP,9,5,9
SRP 2.3.1,SRP,48,74,10
SRP 2.3.2,SRP,11,14,9
SRP 2.3.3,SRP,13,13,5
SRP 2.3.4,SRP,14,39,4
SRP 2.3.5,SRP,13,30,1
SRP 2.4.1,SRP,8,15,4
SRP 2.4.12,SRP,50,48,11
SRP 2.4.13,SRP,18,12,11
SRP 2.4.2,SRP,2,1,2
SRP 2.4.3,SRP,17,26,8
SRP 2.4.4,SRP,7,18,1
SRP 2.4.5,SRP,3,6,0
SRP 2.4.6,SRP,29,57,7
SRP 2.5.1,SRP,22,30,7
SRP 2.5.2,SRP,43,41,24
SRP 2.5.3,SRP,8,14,2
SRP 2.5.4,SRP,22,41,7
SRP 3.12,SRP,5,7,0
SRP 3.3.1,SRP,12,29,2
SRP 3.4.2,SRP,12,31,4
SRP 3.5.2,SRP,5,7,0
SRP 3.7.1,SRP,33,24,24
SRP 3.7.2,SRP,27,7,27
SRP 3.8.5,SRP,32,85,2
SRP 3.9.1,SRP,10,17,3
SRP 3.9.2,SRP,35,59,15
SRP 3.9.3,SRP,32,5,28
SRP 3.9.5,SRP,16,51,0
SRP 4.6,SRP,4,6,0
SRP 5.2.3,SRP,43,113,3
SRP 6.4,SRP,24,58,0
SRP 8.1,SRP,6,5,0
SRP 8.2,SRP,13,42,0
SRP 8.3.1,SRP,2,0,2
SRP 9.1.1,SRP,25,26,0
SRP 9.1.2,SRP,6,8,0
SRP 9.1.3,SRP,12,39,0
SRP 9.2.6,SRP,7,19,0
SRP 9.2.7,SRP,9,28,0
SRP 9.3.3,SRP,4,4,0
SRP 9.5.2,SRP,1,1,0
